smiles,sources
B.CC(=O)OC1CN2CCC1CC2,hiv;hiv:train
B.CS(=O)(=O)OC1CN2CC(O)C(O)C2C1CO,hiv;hiv:train
BC#N.CN(C)CCCn1ccc(=O)[nH]c1=O,hiv;hiv:train
BC#N.Cc1cn(CCCN(C)C)c(=O)[nH]c1=O,hiv;hiv:train
BC(=O)NC(CC(C)C)C(=O)NC1c2ccsc2C(=O)C1O.CN(C)C,hiv;hiv:train
BC(=O)NC(CC(C)C)C(=O)NCC(=O)NC1c2ccsc2C(=O)C1O.CN(C)C,hiv;hiv:train
Br.C(=Cc1ccc(-c2cn3cc(C=CC=NNC4=NCCCN4)ccc3n2)cc1)C=NNC1=NCCCN1,hiv;hiv:train
Br.C(=Cc1ccc(-c2cn3cc(C=CC=NNC4=NCCN4)ccc3n2)cc1)C=NNC1=NCCN1,hiv;hiv:train
Br.C(=NNC1=NCCCN1)c1ccc(-c2cn3cc(C=NNC4=NCCCN4)ccc3n2)cc1,hiv;hiv:train
Br.C(=NNC1=NCCN1)c1cccc2cc3ccncc3nc12,hiv;hiv:train
Br.C(COc1cccnc1)=NNC1=NCCN1,hiv;hiv:train
Br.C=CCN1CC2CN=NC2(C#N)C1,hiv;hiv:train
Br.C=CCn1c(-c2ccc(Cl)cc2)csc1=Nc1ccccc1OC,hiv;hiv:train
Br.CC(C)(CCCCC(C)(C)NC1=NCCO1)NC1=NCCO1,hiv;hiv:train
Br.CC(C=Cc1ncccc1OCCCCCC(=O)O)=NNC1=NCCN1,hiv;hiv:train
Br.CC(CN(C)C)C(=NNc1ccccc1)c1ccccc1,hiv;hiv:train
Br.CC(O)C1(c2ccccc2)CC2(CCN(C)CC2)OC1C,hiv;hiv:train
Br.CC1(C)CC(=O)C(=CNc2nc(-c3ccc(Br)cc3)cs2)C(=O)C1,hiv;hiv:train
Br.CC1(C)CC(=O)C(=CNc2nc(-c3ccccc3)cs2)C(=O)C1,hiv;hiv:train
Br.CC12CC(c3ccccc3O1)N1CCCCSC1=N2,hiv;hiv:train
Br.CC12CC(c3ccccc3O1)N1CCCSC1=N2,hiv;hiv:train
Br.CC12CC(c3ccccc3O1)N1CCSC1=N2,hiv;hiv:train
Br.CC12CC(c3ccccc3O1)N1Cc3ccccc3CSC1=N2,hiv;hiv:train
Br.CC1CCCCN1CC(=O)c1ccc2c(c1)Sc1ccccc1O2,hiv;hiv:train
Br.CCC1=C(C)C(=Cc2[nH]c(C(Br)Br)c(CC)c2C)N=C1C(Br)Br,hiv;hiv:train
Br.CCC1=C(C)C(=Cc2[nH]c(CBr)c(CC)c2C)N=C1CBr,hiv;hiv:train
Br.CCCCCC(C=Cc1ncccc1OCCCCCC(=O)O)=NNC1=NCCN1,hiv;hiv:train
Br.CCCCc1c2c(nc3c1CCCC3O)C(=Cc1ccccc1)CCC2,hiv;hiv:valid
Br.CCN(CC)C(C)(C)C(=O)C=Cc1ccc(C)cc1,hiv;hiv:train
Br.CCN(CC)CC(C)(C)C(=O)C=Cc1ccc(C=CC(=O)C(C)(C)CN(CC)CC)cc1,hiv;hiv:train
Br.CCN(CC)CCN(C)CC(C)(C)C(=O)C=Cc1ccccc1,hiv;hiv:train
Br.CCN(CC)CCN(C)CCc1ccc(Br)cc1,hiv;hiv:train
Br.CCN(CC)CCOC(=O)C=Cc1ccccc1,hiv;hiv:train
Br.CCN(CC)CCSc1c2ccccc2nc2cc(NCC(=O)Nc3ccccc3-c3ccccc3NC(=O)CNc3ccc4c(SCCN(CC)CC)c5ccccc5nc4c3)ccc12,hiv;hiv:train
Br.CCN(CC)OC(=O)C=Cc1ccccc1,hiv;hiv:train
Br.CCN1C(=O)C(=CNc2ccccc2)SC1=NNc1nc(-c2ccc([N+](=O)[O-])cc2)cs1,hiv;hiv:train
Br.CCN1CCC(O)(c2ccc(C)cc2)C(C(=O)c2ccc(C)cc2)C1,hiv;hiv:train
Br.CCN1CCC(O)(c2ccc(Cl)c(Cl)c2)C(C(=O)c2ccc(Cl)c(Cl)c2)C1,hiv;hiv:train
Br.CCN1CCC(O)(c2ccc(Cl)cc2)C(C(=O)c2ccc(Cl)cc2)C1,hiv;hiv:train
Br.CCN1CCC(O)(c2ccc(OC)cc2)C(C(=O)c2ccc(OC)cc2)C1,hiv;hiv:train
Br.CCN1CCC(O)(c2ccccc2)C(C(=O)c2ccccc2)C1,hiv;hiv:train
Br.CCOC(=O)CC12CCCNC1(C)CCc1ccccc12,hiv;hiv:train
Br.CCOC(=O)c1c(N2CCCC2)nsc1Nc1ccccc1,hiv;hiv:train
Br.CCOC(CN=c1nc(N(C)C)ss1)OCC,hiv;hiv:train
Br.CCOC1CN(C)C(=Nc2cccc3ccccc23)S1,hiv;hiv:train
Br.CCc1cccc(CC)c1Nc1nc(-c2ccccc2-c2ccccc2)cs1,hiv;hiv:train
Br.CN(C)CCCSc1c2ccccc2nc2cc(NCC(=O)Nc3ccccc3-c3ccccc3NC(=O)CNc3ccc4c(SCCCN(C)C)c5ccccc5nc4c3)ccc12,hiv;hiv:train
Br.CN(C)CCNc1nc(-c2ccc3ccccc3c2)nc2[nH]cnc12,hiv;hiv:train
Br.CN(C)CCNc1ncnc2nc(-c3ccccc3)c(-c3ccccc3)nc12,hiv;hiv:train
Br.CN(C)CCSc1nccc(-c2ccc(-c3ccnc(SCCN(C)C)n3)s2)n1,hiv;hiv:train
Br.CN(C)c1ccc(C(Br)=C2OC(=O)c3ccccc32)cc1,hiv;hiv:train
Br.CN(C)c1nc(=NCc2ccccc2)ss1,hiv;hiv:train
Br.CN(C)c1nc(=NCc2ccccn2)ss1,hiv;hiv:train
Br.CN(C)c1nc(=NCc2cccnc2)ss1,hiv;hiv:train
Br.CN(C)c1nc(=NCc2cccs2)ss1,hiv;hiv:train
Br.CN(C)c1nc(=NCc2ccncc2)ss1,hiv;hiv:train
Br.CN(C)c1nc(=Nc2ccc3c(c2)OCO3)ss1,hiv;hiv:valid
Br.CN(C)c1nc(=Nc2cccc(Cl)c2)ss1,hiv;hiv:valid
Br.CN(C1=NCCO1)c1cccc2ccccc12,hiv;hiv:train
Br.CN(CCc1ccc(Br)cc1)CCN1CCCCC1,hiv;hiv:train
Br.CN1C(C)(C)C(Br)C(=O)C(Br)C1(C)C,hiv;hiv:train
Br.CN1C(C)(C)CC(=O)C(Br)C1(C)C,hiv;hiv:train
Br.CN=C(Nc1cccc(C(F)(F)F)c1)SCc1ccc(N=C=S)cc1,hiv;hiv:train
Br.COC1=Cc2ccnc3c(O)c4ccccc4c(c23)C1=O,hiv;hiv:valid
Br.COc1cc(CN=c2nc(N(C)C)ss2)cc(OC)c1OC,hiv;hiv:train
Br.COc1cc(CNC2=NCCC2)cc(OC)c1OC,hiv;hiv:train
Br.COc1ccc(-c2csc(=Nc3ccccc3)n2CC(O)c2ccc([N+](=O)[O-])cc2)cc1,hiv;hiv:train
Br.COc1ccc(NC2=NCCO2)c2ccccc12,hiv;hiv:train
Br.C[n+]1c(-c2ccc(C=NNc3ccnc(NN=Cc4ccc(-c5cn6ccsc6[n+]5C)cc4)n3)cc2)cn2ccsc21.[Br-],hiv;hiv:train
Br.Cc1ccc(-c2csc(=Nc3ccccc3)n2NC(=O)c2ccncc2)cc1,hiv;hiv:train
Br.Cc1cn2cc(-c3cccs3)nc2s1,hiv;hiv:train
Br.Cc1nc(Nc2ccc(Cl)cc2Cl)sc1C(=O)Nc1ccccc1,hiv;hiv:train
Br.Clc1ccc(C2=CSC3=NCCN23)cc1,hiv;hiv:train
Br.Clc1nc2n(c1C=Cc1cccs1)CCS2,hiv;hiv:train
Br.N=C(N)SCc1ccc(N=C=S)cc1,hiv;hiv:train
Br.N=C(NN)SCc1ccc(N=C=S)cc1,hiv;hiv:train
Br.N=c1nc(Nc2ccccc2)ss1,hiv;hiv:valid
Br.N=c1sc(N2CCOCC2)nn1CC(=O)c1ccccc1,hiv;hiv:train
Br.NC(=O)C(=CNc1nc(-c2ccc(Br)cc2)cs1)C(N)=O,hiv;hiv:train
Br.NC(=O)NC1=NCCC(=O)N1CCc1c[nH]c2ccccc12,hiv;hiv:train
Br.NC1=CN2c3ccccc3N(CC(=O)O)C2C=C1,hiv;hiv:train
Br.NC1NCCC(=O)N1CCc1c[nH]c2ccccc12,hiv;hiv:train
Br.NC1OC(COC(=O)c2ccccc2)C(O)C(OC(=O)c2ccccc2)C1OC(=O)c1ccccc1,hiv;hiv:train
Br.NCCC1([N+](=O)[O-])CCNCC1,hiv;hiv:train
Br.NCCCCNOCCCN,hiv;hiv:train
Br.NCCCNC(=O)c1csc(NC(=O)c2csc(NC(=O)CCCN)n2)n1,hiv;hiv:valid
Br.NCCOc1c2occc2cc2ccc(=O)oc12,hiv;hiv:train
Br.O=C(O)CCCCCOc1cccnc1C=NNC1=NCCN1,hiv;hiv:train
Br.O=C1C(=Cc2ccc(Cl)cc2)SC2SC=C(c3ccc([N+](=O)[O-])cc3)N12,hiv;hiv:train
Br.O=C1C(CN2CCCCC2)CCCC1CN1CCCCC1,hiv;hiv:train
Br.Oc1cc2c3c(c1)CCCN3CCC2,hiv;hiv:train
Br.Oc1ccc(CC2CNC(Cc3ccc(O)c(Br)c3)CN2)cc1,hiv;hiv:train
Br.S=C=Nc1ccc(CSc2nc3ccccc3[nH]2)cc1,hiv;hiv:train
Br.c1cc2cc(c1)CNCCNCCNCc1cccc(c1)CNCCNCCNC2,hiv;hiv:valid
Br.c1ccc2c(CCNC3=NCCO3)cccc2c1,hiv;hiv:train
Br.c1ccc2c(c1)C(=NCCCN1CCCCCCC1)c1cccn1-2,hiv;hiv:train
Br.c1cnc2c(c1)-n1cccc1C1(CCCCC1)NN2,hiv;hiv:train
Br.c1cnc2c(c1)-n1cccc1C1(CCSCC1)NN2,hiv;hiv:train
BrC(=C(c1ccc(OC2CCCCO2)cc1)c1ccc(OC2CCCCO2)cc1)c1ccccc1,hiv;hiv:train
BrC(Br)(Br)Br,esol;esol:train
BrC(Br)([P+](c1ccccc1)(c1ccccc1)c1ccccc1)[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],hiv;hiv:valid
BrC(Br)=C1C(=C(Br)Br)C(Br)C1Br,hiv;hiv:train
BrC(Br)Br,bbbp;bbbp:train;esol;esol:train;freesolv;freesolv:train;tox21;tox21:train
BrC(Br)C(Br)(Br)Br,tox21;tox21:train
BrC(Br)C(Br)Br,tox21;tox21:train
BrC(C=NNc1nnc(-c2ccccc2)c(-c2ccccc2)n1)C(Br)c1ccccc1,hiv;hiv:valid
BrC/C=C/CBr,tox21;tox21:train
BrC1(Br)C2C=CCCCCC21,hiv;hiv:valid
BrC1(c2ccccc2)C[n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc21.[Br-],hiv;hiv:train
BrC12C3C4C5C(C(C43)C13OCCO3)C52,hiv;hiv:valid
BrC12c3ccccc3Sc3ccccc3C1(Br)c1ccccc12,hiv;hiv:valid
BrC1=C(Br)C2(SCCS2)C2CC1c1ccccc12,hiv;hiv:train
BrC1=CC2C(C3C=CC2(Br)C32OCCO2)C12OCCO2,hiv;hiv:valid
BrC1=CC=C2NC=CC3=CC=NC1C32,hiv;hiv:valid
BrC1=CCC23CC=C(Br)C4CC2(COC3)CC1O4,hiv;hiv:train
